Source,Site,RSS,City,State,National
The Standard-Times,http://www.southcoasttoday.com/,http://www.southcoasttoday.com/politics?template=rss&mime=xml,New Bedford,MA,N
Taunton Daily Gazette,http://www.tauntongazette.com/,http://www.tauntongazette.com/news?template=rss&mime=xml,Taunton,MA,N
Telegram and Gazette,http://www.telegram.com/,http://www.telegram.com/news?template=rss&mime=xml,Worcester,MA,N
The Daily Telegram,http://www.lenconnect.com/,http://www.lenconnect.com/news?template=rss&mime=xml,Adrian,MI,N
The Alpena News,http://www.thealpenanews.com/,http://www.thealpenanews.com/page/syndrss.front/headline.xml,Alpena,MI,N
Cheboygan Daily Tribune,http://www.cheboygannews.com/,http://www.cheboygannews.com/news?template=rss&mime=xml,Cheboygan,MI,N
The Daily Reporter,http://www.thedailyreporter.com/,http://www.thedailyreporter.com/news?template=rss&mime=xml,Coldwater,MI,N
Iraq Sun,http://www.iraqsun.com/,http://feeds.iraqsun.com/rss/c31d0aaa23b24a75,Dearborn Heights,MI,N
Metro Times,http://www.metrotimes.com/,http://www.metrotimes.com/detroit/Rss.xml?section=2135207,Ferndale,MI,N
Grand Haven Tribune,http://www.grandhaventribune.com/,http://www.grandhaventribune.com/rss/announcements,Grand Haven,MI,N
Grand Rapids Business Journal,http://www.grbj.com/,http://www.grbj.com/rss/8,Grand Rapids,MI,N
Hillsdale Daily News ,http://www.hillsdale.net/,http://www.hillsdale.net/news?template=rss&mime=xml,Hillsdale,MI,N
The Holland Sentinel,http://www.hollandsentinel.com/,http://www.hollandsentinel.com/news?template=rss&mime=xml,Holland,MI,N
The Daily Mining Gazette ,http://www.mininggazette.com/,http://www.mininggazette.com/page/syndrss.front/headline.xml,Houghton,MI,N
Ionia Sentinel-Standard,http://www.sentinel-standard.com/,http://www.sentinel-standard.com/news?template=rss&mime=xml,Ionia,MI,N
Ironwood Daily Globe,http://www.yourdailyglobe.com/,http://www.yourdailyglobe.com/rss,Ironwood,MI,N
Mackinac Island Town Crier,http://www.mackinacislandnews.com/,http://www.mackinacislandnews.com/news.xml,Mackinac Island,MI,N
The Macomb Daily,http://www.macombdaily.com/,http://www.macombdaily.com/section?template=RSS&profile=4001918&mime=xml,Macomb County,MI,N
The Mining Journal,http://www.miningjournal.net/,http://www.miningjournal.net/page/syndrss.front/headline.xml,Marquette,MI,N
Michigan Lawyers Weekly,http://milawyersweekly.com/,http://milawyersweekly.com/feed/,Farmington Hills,MI,N
Argus-Press,http://www.argus-press.com/,"http://www.argus-press.com/search/?q=&t=article&l=100&d=&d1=&d2=&s=start_time&sd=desc&nsa=eedition&c[]=news/news_local,news/news_local/*&f=rss",Owosso,MI,N
The Oakland Press ,http://www.theoaklandpress.com/,http://www.theoaklandpress.com/section?template=RSS&profile=4001179&mime=xml,Pontiac,MI,N
St. Ignace News ,http://www.stignacenews.com/,http://www.stignacenews.com/news.xml,St. Ignace,MI,N
The News-Herald ,http://www.thenewsherald.com/,http://www.thenewsherald.com/?rss=news,Southgate,MI,N
Sturgis Journal,http://www.sturgisjournal.com/,http://www.sturgisjournal.com/news?template=rss&mime=xml,Sturgis,MI,N
